to,from,sim_score
76A0fsNkEToPHjjmrFsc4Y,51UB3HmLDQlH7I7yXJBqkq,3
76A0fsNkEToPHjjmrFsc4Y,0Hxty2K8F2DrrCXQyQVpBo,1
76A0fsNkEToPHjjmrFsc4Y,0hjAMjQvYeC6RHmrCEy9z5,3
76A0fsNkEToPHjjmrFsc4Y,0jZmx4t0Fg4SJxJj0jnAdU,-1
76A0fsNkEToPHjjmrFsc4Y,59yBn1TCeZLaDM5C9qoE2S,3
76A0fsNkEToPHjjmrFsc4Y,2XySnpJ0uMOJ4pXd73Juyf,-1
76A0fsNkEToPHjjmrFsc4Y,0SGC6p2Vl7AYKYWtbV1jIG,1
76A0fsNkEToPHjjmrFsc4Y,2JAUBPBVkimRLc5BGhAkfJ,3
76A0fsNkEToPHjjmrFsc4Y,341863z079BT4EFPiSw9DP,1
76A0fsNkEToPHjjmrFsc4Y,2n0U2OG5d6TuW5mKx7YrC0,3
0SGC6p2Vl7AYKYWtbV1jIG,0SWcUpvp1XvKDKJAcOqDNl,5
0SGC6p2Vl7AYKYWtbV1jIG,1qrp8PDu28yMFOItAOynx3,-1
0SGC6p2Vl7AYKYWtbV1jIG,51UB3HmLDQlH7I7yXJBqkq,1
0SGC6p2Vl7AYKYWtbV1jIG,0Hxty2K8F2DrrCXQyQVpBo,5
0SGC6p2Vl7AYKYWtbV1jIG,0hjAMjQvYeC6RHmrCEy9z5,1
0SGC6p2Vl7AYKYWtbV1jIG,0jZmx4t0Fg4SJxJj0jnAdU,-3
0SGC6p2Vl7AYKYWtbV1jIG,59yBn1TCeZLaDM5C9qoE2S,1
0SGC6p2Vl7AYKYWtbV1jIG,2XySnpJ0uMOJ4pXd73Juyf,-1
0SGC6p2Vl7AYKYWtbV1jIG,76A0fsNkEToPHjjmrFsc4Y,1
0SGC6p2Vl7AYKYWtbV1jIG,2JAUBPBVkimRLc5BGhAkfJ,-1
0SGC6p2Vl7AYKYWtbV1jIG,341863z079BT4EFPiSw9DP,-1
0SGC6p2Vl7AYKYWtbV1jIG,2n0U2OG5d6TuW5mKx7YrC0,1
2JAUBPBVkimRLc5BGhAkfJ,0SWcUpvp1XvKDKJAcOqDNl,-1
2JAUBPBVkimRLc5BGhAkfJ,1qrp8PDu28yMFOItAOynx3,1
2JAUBPBVkimRLc5BGhAkfJ,51UB3HmLDQlH7I7yXJBqkq,-1
2JAUBPBVkimRLc5BGhAkfJ,0Hxty2K8F2DrrCXQyQVpBo,-3
2JAUBPBVkimRLc5BGhAkfJ,0hjAMjQvYeC6RHmrCEy9z5,-3
2JAUBPBVkimRLc5BGhAkfJ,0jZmx4t0Fg4SJxJj0jnAdU,1
2JAUBPBVkimRLc5BGhAkfJ,59yBn1TCeZLaDM5C9qoE2S,-1
2JAUBPBVkimRLc5BGhAkfJ,2XySnpJ0uMOJ4pXd73Juyf,-3
2JAUBPBVkimRLc5BGhAkfJ,76A0fsNkEToPHjjmrFsc4Y,3
2JAUBPBVkimRLc5BGhAkfJ,0SGC6p2Vl7AYKYWtbV1jIG,-1
2JAUBPBVkimRLc5BGhAkfJ,341863z079BT4EFPiSw9DP,3
2JAUBPBVkimRLc5BGhAkfJ,2n0U2OG5d6TuW5mKx7YrC0,3
341863z079BT4EFPiSw9DP,0SWcUpvp1XvKDKJAcOqDNl,-1
341863z079BT4EFPiSw9DP,1qrp8PDu28yMFOItAOynx3,1
341863z079BT4EFPiSw9DP,51UB3HmLDQlH7I7yXJBqkq,1
341863z079BT4EFPiSw9DP,0Hxty2K8F2DrrCXQyQVpBo,-1
341863z079BT4EFPiSw9DP,0hjAMjQvYeC6RHmrCEy9z5,-3
341863z079BT4EFPiSw9DP,0jZmx4t0Fg4SJxJj0jnAdU,-1
341863z079BT4EFPiSw9DP,59yBn1TCeZLaDM5C9qoE2S,-1
341863z079BT4EFPiSw9DP,2XySnpJ0uMOJ4pXd73Juyf,-3
341863z079BT4EFPiSw9DP,76A0fsNkEToPHjjmrFsc4Y,1
341863z079BT4EFPiSw9DP,0SGC6p2Vl7AYKYWtbV1jIG,-1
341863z079BT4EFPiSw9DP,2JAUBPBVkimRLc5BGhAkfJ,3
341863z079BT4EFPiSw9DP,2n0U2OG5d6TuW5mKx7YrC0,3
2n0U2OG5d6TuW5mKx7YrC0,0SWcUpvp1XvKDKJAcOqDNl,1
2n0U2OG5d6TuW5mKx7YrC0,1qrp8PDu28yMFOItAOynx3,1
2n0U2OG5d6TuW5mKx7YrC0,51UB3HmLDQlH7I7yXJBqkq,3
2n0U2OG5d6TuW5mKx7YrC0,0Hxty2K8F2DrrCXQyQVpBo,1
2n0U2OG5d6TuW5mKx7YrC0,0hjAMjQvYeC6RHmrCEy9z5,1
2n0U2OG5d6TuW5mKx7YrC0,0jZmx4t0Fg4SJxJj0jnAdU,-1
2n0U2OG5d6TuW5mKx7YrC0,59yBn1TCeZLaDM5C9qoE2S,3
2n0U2OG5d6TuW5mKx7YrC0,2XySnpJ0uMOJ4pXd73Juyf,-1
2n0U2OG5d6TuW5mKx7YrC0,76A0fsNkEToPHjjmrFsc4Y,3
2n0U2OG5d6TuW5mKx7YrC0,0SGC6p2Vl7AYKYWtbV1jIG,1
2n0U2OG5d6TuW5mKx7YrC0,2JAUBPBVkimRLc5BGhAkfJ,3
2n0U2OG5d6TuW5mKx7YrC0,341863z079BT4EFPiSw9DP,3
